&beta;2-Glycoprotein I (&beta;2-GPI) plasma levels			
5-HTT brain serotonin transporter levels	脳内セロトニントランスポーター(5-HTT)密度	Trait_med	NA
AIDS	AIDS	Disease	NA
AIDS progression	AIDS進行	Disease	NA
Abdominal aortic aneurysm	腹部大動脈瘤	Disease	NA
Acenocoumarol maintenance dosage	アセノクマロール維持量	Trait_med	NA
Acne (severe teenage)			
Acne (severe)			
Acoustic startle blink response			
Activated partial thromboplastin time	活性化部分トロンボプラスチン時間	Trait_med	NA
Acute graft versus host disease	急性移植片対宿主病(GVHD)	Disease	NA
Acute lung injury	急性肺障害	Disease	NA
Acute lymphoblastic leukemia (B-cell precursor)			
Acute lymphoblastic leukemia (adolescents and young adults)			
Acute lymphoblastic leukemia (childhood)	急性リンパ芽球性白血病(小児期)	Disease	NA
Acute myeloid leukemia			
Acute urticaria and angioedema (non-steroidal anti-inflammatory drug-induced)			
Addiction	中毒	NA	NA
Adiponectin levels	アディポネクチンレベル	Trait_med	NA
Adiposity	肥満	Disease	NA
Adolescent idiopathic scoliosis			
Adolescent idiopathic scoliosis (severe)			
Adverse response to aromatase inhibitors	アロマターゼ阻害剤への有害反応	Trait_med	NA
Adverse response to carbamapezine	カルバマゼピンへの有害反応	Trait_med	NA
Adverse response to chemotherapy (neutropenia/leucopenia) (5-fluorouracil)			
Adverse response to chemotherapy (neutropenia/leucopenia) (all anthracycline-based drugs)			
Adverse response to chemotherapy (neutropenia/leucopenia) (all antimetabolite drugs)			
Adverse response to chemotherapy (neutropenia/leucopenia) (all antimicrotubule drugs)			
Adverse response to chemotherapy (neutropenia/leucopenia) (all platinum-based drugs)			
Adverse response to chemotherapy (neutropenia/leucopenia) (all topoisomerase inhibitors)			
Adverse response to chemotherapy (neutropenia/leucopenia) (camptothecin)			
Adverse response to chemotherapy (neutropenia/leucopenia) (carboplatin)			
Adverse response to chemotherapy (neutropenia/leucopenia) (cisplatin)			
Adverse response to chemotherapy (neutropenia/leucopenia) (cyclophosphamide)			
Adverse response to chemotherapy (neutropenia/leucopenia) (docetaxel)			
Adverse response to chemotherapy (neutropenia/leucopenia) (doxorubicin)			
Adverse response to chemotherapy (neutropenia/leucopenia) (epirubicin)			
Adverse response to chemotherapy (neutropenia/leucopenia) (etoposide)			
Adverse response to chemotherapy (neutropenia/leucopenia) (gemcitabine)			
Adverse response to chemotherapy (neutropenia/leucopenia) (paclitaxel + carboplatin)			
Adverse response to chemotherapy (neutropenia/leucopenia) (paclitaxel)			
Adverse response to chemotherapy in breast cancer (alopecia)			
Adverse response to chemotherapy in breast cancer (alopecia) (anti-microtubule)			
Adverse response to chemotherapy in breast cancer (alopecia) (cyclophosphamide+doxorubicin+/-5FU)			
Adverse response to chemotherapy in breast cancer (alopecia) (cyclophosphamide+epirubicin+/-5FU)			
Adverse response to chemotherapy in breast cancer (alopecia) (docetaxel)			
Adverse response to chemotherapy in breast cancer (alopecia) (paclitaxel)			
Adverse response to lamotrigine and phenytoin	ラモトリジンとフェニトインへの有害反応	Trait_med	NA
Adverse response to radiation therapy			
Age at smoking initiation in chronic obstructive pulmonary disease			
Age of smoking initiation			
Age-related cataracts			
Age-related cataracts (age at onset)			
Age-related hearing impairment			
Age-related hearing impairment (interaction)			
Age-related macular degeneration	加齢黄斑変性症	Disease	NA
Age-related macular degeneration (CNV vs. GA)	加齢黄斑変性症 (CNV vs. GA)	Disease	NA
Age-related macular degeneration (CNV)	加齢黄斑変性症 (CNV)	Disease	NA
Age-related macular degeneration (GA)	加齢黄斑変性症 (GA)	Disease	NA
Age-related macular degeneration (extreme sampling)			
Age-related macular degeneration (smoking status interaction)			
Age-related macular degeneration (wet)	加齢黄斑変性症 (wet)	Disease	NA
Age-related nuclear cataracts			
Aggressive periodontitis (sex interaction)			
Aging	加齢	Trait_med	NA
Aging (facial)			
Aging (time to death)	加齢 (time to death)	Trait_med	NA
Aging (time to event)	加齢 (time to event)	Trait_med	NA
Aging traits	老化形質	Trait_med	NA
Airflow obstruction	気流閉塞	Disease	NA
Airway hyperresponsiveness			
Airway responsiveness in chronic obstructive pulmonary disease			
Alcohol and nictotine co-dependence	アルコールとニコチンの共依存	Trait_med	NA
Alcohol consumption	アルコール消費量	Trait_easy	NA
Alcohol consumption (maxi-drinks)			
Alcohol consumption (transferrin glycosylation)			
Alcohol dependence	アルコール依存症	Disease	NA
Alcohol dependence (age at onset)			
Alcohol withdrawal symptoms	アルコール禁断症状	Disease	NA
Alcoholism (12-month weekly alcohol consumption)	アルコール依存症 (12-month weekly alcohol consumption)	Disease	NA
Alcoholism (alcohol dependence factor score)	アルコール依存症 (alcohol dependence factor score)	Disease	NA
Alcoholism (alcohol use disorder factor score)	アルコール依存症 (alcohol use disorder factor score)	Disease	NA
Alcoholism (heaviness of drinking)	アルコール依存症 (heaviness of drinking)	Disease	NA
Allergic dermatitis (nickel)			
Allergic rhinitis	慢性アレルギー性鼻炎	Disease	NA
Allergic rhinitis in asthma			
Allergic rhinitis in non-asthmatics			
Allergic sensitization			
Alloimmunization response to red blood cell transfusion in sickle cell anemia			
Alopecia areata	円形脱毛症	Trait_easy	NA
Alzheimer's disease	アルツハイマー病	Disease	NA
Alzheimer's disease (age of onset)	アルツハイマー病 (発症年齢)	Disease	NA
Alzheimer's disease (cognitive decline)			
Alzheimer's disease (interaction)			
Alzheimer's disease (late onset)	アルツハイマー病 (遅発型)	Disease	NA
Alzheimer's disease (neuritic plaque pathology)			
Alzheimer's disease biomarkers	アルツハイマー病バイオマーカー	Trait_med	NA
Amygdala reactivity	扁桃体の反応性	Trait_med	NA
Amyloid A serum levels			
Amyotrophic lateral sclerosis	筋萎縮性側索硬化症	Disease	NA
Amyotrophic lateral sclerosis (age of onset)	筋萎縮性側索硬化症 (発症年齢)	Disease	NA
Amyotrophic lateral sclerosis (interaction)	筋萎縮性側索硬化症 (interaction)	Disease	NA
Amyotrophic lateral sclerosis (sporadic)			
Amyotrophic lateral sclerosis or frontotemporal dementia			
Androgen levels	アンドロゲン濃度	Trait_med	NA
Anger			
Angioedema in response to angiotensin-converting enzyme inhibitor			
Angiotensin-converting enzyme activity	アンジオテンシン変換酵素活性	Trait_med	NA
Ankle-brachial index			
Ankylosing spondylitis	強直性脊椎炎	Disease	NA
Anorexia nervosa	拒食症	Disease	NA
Anterior chamber depth			
Anthropometric traits	人体計測的な形質	Trait_easy	NA
Anthropometric traits in newborns			
Anti-citrullinated peptide antibody			
Anti-cyclic Citrullinated Peptide Antibody	抗環状シトルリン化ペプチド抗体	Trait_med	NA
Anti-saccade response			
Antibody status in Tripanosoma cruzi seropositivity			
Anticoagulant levels	抗凝固薬レベル	Trait_med	NA
Antineutrophil cytoplasmic antibody-associated vasculitis			
Antinuclear antibody levels			
Antipsychotic drug-induced weight gain	抗精神病薬誘発性の体重増加	Trait_med	NA
Antipsychotic-induced QTc interval prolongation	抗精神病薬誘発性のQT間隔延長	Trait_med	NA
Anxiety			
Anxiety and major depressive disorder			
Anxiety disorder			
Anxiety in major depressive disorder			
Aortic root size	大動脈根の大きさ	Trait_med	NA
Aortic stiffness	大動脈の剛性	Trait_med	NA
Aortic-valve calcification			
Apolipoprotein Levels			
Arsenic metabolism			
Arterial stiffness	動脈壁の剛性	Trait_med	NA
Arthritis (juvenile idiopathic)	関節炎 (若年性特発性)	Disease	NA
Asparaginase hypersensitivity in acute lymphoblastic leukemia			
Aspartate aminotransferase			
Asperger disorder	アスペルガー障害	Disease	NA
Aspirin exacerbated respiratory disease in asthmatics			
Aspirin hydrolysis (plasma)			
Aspirin intolerance in asthmatics			
Asthma	喘息	Disease	NA
Asthma (bronchodilator response)	喘息 (bronchodilator response)	Disease	NA
Asthma (childhood onset)	喘息 (childhood onset)	Disease	NA
Asthma (corticosteroid response)			
Asthma (sex interaction)			
Asthma (toluene diisocyanate-induced)	喘息 (toluene diisocyanate-induced)	Disease	NA
Asthma and hay fever			
Asthma or atopy (interaction)			
Asthma or chronic obstructive pulmonary disease			
Asthma treatment response	喘息 treatment response	Disease	NA
Asymmetrical dimethylarginine levels			
Atopic dermatitis	アトピー性皮膚炎	Disease	NA
Atopy	アトピー	Disease	NA
Atrial fibrillation	心房細動	Trait_med	NA
Atrial fibrillation/atrial flutter	心房細動, 心房粗動	Trait_med	NA
Atrioventricular conduction	房室伝導	Trait_med	NA
Attention deficit hyperactivity disorder	注意欠陥多動性障害(ADHD)	Disease	NA
Attention deficit hyperactivity disorder (combined symptoms)			
Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)			
Attention deficit hyperactivity disorder (inattention symptoms)			
Attention deficit hyperactivity disorder (time to onset)	注意欠陥多動性障害(ADHD) (発症年齢)	Disease	NA
