'eng'	'ja'	'category'
'5-HTT brain serotonin transporter levels'	'脳内セロトニントランスポーター(5-HTT)密度'	'Trait'
'AB1-42'	'AB1-42'	
'AIDS'	'AIDS'	
'AIDS progression'	'AIDS進行'	
'Abdominal aortic aneurysm'	'腹部大動脈瘤'	
'Acenocoumarol maintenance dosage'	'アセノクマロール維持量'	
'Activated partial thromboplastin time'	'活性化部分トロンボプラスチン時間'	
'Acute graft versus host disease'	'急性移植片対宿主病(GVHD)'	
'Acute lung injury'	'急性肺障害'	
'Acute lymphoblastic leukemia (childhood)'	'急性リンパ芽球性白血病(小児期)'	
'Addiction'	'中毒'	
'Adiponectin levels'	'アディポネクチンレベル'	
'Adiposity'	'肥満'	
'Adverse response to aromatase inhibitors'	'アロマターゼ阻害剤への有害反応'	
'Adverse response to carbamapezine'	'カルバマゼピンへの有害反応'	
'Adverse response to lamotrigine and phenytoin'	'ラモトリジンとフェニトインへの有害反応'	
'Age-related macular degeneration'	'加齢黄斑変性症'	'Disease'
'Age-related macular degeneration (CNV vs. GA)'	'加齢黄斑変性症 (CNV vs. GA)'	
'Age-related macular degeneration (CNV)'	'加齢黄斑変性症 (CNV)'	
'Age-related macular degeneration (GA)'	'加齢黄斑変性症 (GA)'	
'Age-related macular degeneration (wet)'	'加齢黄斑変性症 (wet)'	
'Aging'	'加齢'	
'Aging (time to death)'	'加齢 (time to death)'	
'Aging (time to event)'	'加齢 (time to event)'	
'Aging traits'	'老化形質'	
'Airflow obstruction '	'気流閉塞'	
'Alcohol and nictotine co-dependence'	'アルコールとニコチンの共依存'	
'Alcohol consumption'	'アルコール消費量'	
'Alcohol dependence'	'アルコール依存症'	
'Alcohol withdrawal symptoms'	'アルコール禁断症状'	
'Alcoholism (12-month weekly alcohol consumption)'	'アルコール依存症 (12-month weekly alcohol consumption)'	
'Alcoholism (alcohol dependence factor score)'	'アルコール依存症 (alcohol dependence factor score)'	
'Alcoholism (alcohol use disorder factor score)'	'アルコール依存症 (alcohol use disorder factor score)'	
'Alcoholism (heaviness of drinking)'	'アルコール依存症 (heaviness of drinking)'	
'Allergic rhinitis'	'慢性アレルギー性鼻炎'	
'Alopecia areata'	'円形脱毛症'	
'Alzheimer''s disease'	'アルツハイマー病'	
'Alzheimer''s disease (age of onset)'	'アルツハイマー病 (発症年齢)'	
'Alzheimer''s disease (late onset)'	'アルツハイマー病 (遅発型)'	
'Alzheimer''s disease biomarkers'	'アルツハイマー病バイオマーカー'	
'Amygdala reactivity'	'扁桃体の反応性'	
'Amyloid A Levels'	'アミロイドAタンパク質濃度'	
'Amyotrophic lateral sclerosis'	'筋萎縮性側索硬化症'	
'Amyotrophic lateral sclerosis (age of onset)'	'筋萎縮性側索硬化症 (発症年齢)'	
'Amyotrophic lateral sclerosis (interaction)'	'筋萎縮性側索硬化症 (interaction)'	
'Androgen levels'	'アンドロゲン濃度'	
'Angiotensin-converting enzyme activity'	'アンジオテンシン変換酵素活性'	
'Ankle-brachial index '	'足関節・上腕血圧指数(ABI)'	
'Ankylosing spondylitis'	'強直性脊椎炎'	
'Anorexia nervosa'	'拒食症'	
'Anthropometric traits'	'人体計測的な形質'	
'Anti-cyclic Citrullinated Peptide Antibody'	'抗環状シトルリン化ペプチド抗体'	
'Anticoagulant levels'	'抗凝固薬レベル'	
'Antineutrophil cytoplasmic antibody-associated vasculitis '	'抗好中球細胞質抗体(ANCA)関連血管炎'	
'Antipsychotic drug-induced weight gain'	'抗精神病薬誘発性の体重増加'	
'Antipsychotic-induced QTc interval prolongation'	'抗精神病薬誘発性のQT間隔延長'	
'Aortic root size'	'大動脈根の大きさ'	
'Aortic stiffness'	'大動脈の剛性'	
'Arsenic metabolism '	'ヒ素の代謝'	
'Arterial stiffness'	'動脈壁の剛性'	
'Arthritis (juvenile idiopathic)'	'関節炎 (若年性特発性)'	
'Aspartate aminotransferase '	'アスパラギン酸アミノ基転移酵素(AST)'	
'Asperger disorder'	'アスペルガー障害'	
'Asthma'	'喘息'	
'Asthma (aspirin-intolerant) '	'喘息 (aspirin-intolerant)'	
'Asthma (bronchodilator response)'	'喘息 (bronchodilator response)'	
'Asthma (childhood onset)'	'喘息 (childhood onset)'	
'Asthma (toluene diisocyanate-induced)'	'喘息 (toluene diisocyanate-induced)'	
'Asthma treatment response'	'喘息 treatment response'	
'Atopic dermatitis'	'アトピー性皮膚炎'	
'Atopy'	'アトピー'	
'Atrial fibrillation'	'心房細動'	
'Atrial fibrillation or atrial flutter'	'心房細動と心房粗動#'	
'Atrioventricular conduction'	'房室伝導'	
'Attention deficit hyperactivity disorder'	'注意欠陥多動性障害(ADHD)'	
