eng	ja
5-HTT brain serotonin transporter levels	5-HTT brain serotonin transporter levels
AB1-42	AB1-42
AIDS	AIDS
AIDS progression	AIDS進行
Abdominal aortic aneurysm	腹部大動脈瘤
Acenocoumarol maintenance dosage	アセノクマロール維持量
Activated partial thromboplastin time	活性化部分トロンボプラスチン時間
Acute graft versus host disease	急性移植片対宿主病(GVHD)
Acute lung injury	急性肺障害
Acute lymphoblastic leukemia (childhood)	急性リンパ芽球性白血病(小児期)
Addiction	中毒
Adiponectin levels	アディポネクチンレベル
Adiposity	肥満
Adverse response to aromatase inhibitors	アロマターゼ阻害剤への有害反応
Adverse response to carbamapezine	カルバマゼピンへの有害反応
Adverse response to lamotrigine and phenytoin	ラモトリジンとフェニトインへの有害反応
Age-related macular degeneration	加齢黄斑変性症
Age-related macular degeneration (CNV vs. GA)	加齢黄斑変性症 (CNV vs. GA)
Age-related macular degeneration (CNV)	加齢黄斑変性症 (CNV)
Age-related macular degeneration (GA)	加齢黄斑変性症 (GA)
Age-related macular degeneration (wet)	加齢黄斑変性症 (wet)
Aging	加齢
Aging (time to death)	加齢 (time to death)
Aging (time to event)	加齢 (time to event)
Aging traits	老化形質
Airflow obstruction 	気流閉塞
Alcohol and nictotine co-dependence	アルコールとニコチンの共依存
Alcohol consumption	アルコール消費量
Alcohol dependence	アルコール依存症
Alcohol withdrawal symptoms	アルコール禁断症状
Alcoholism (12-month weekly alcohol consumption)	アルコール依存症 (12-month weekly alcohol consumption)
Alcoholism (alcohol dependence factor score)	アルコール依存症 (alcohol dependence factor score)
Alcoholism (alcohol use disorder factor score)	アルコール依存症 (alcohol use disorder factor score)
Alcoholism (heaviness of drinking)	アルコール依存症 (heaviness of drinking)
Allergic rhinitis	慢性アレルギー性鼻炎
Alopecia areata	円形脱毛症
Alzheimer's disease	アルツハイマー病
Alzheimer's disease (age of onset)	アルツハイマー病 (発症年齢)
Alzheimer's disease (late onset)	アルツハイマー病 (遅発型)
Alzheimer's disease biomarkers	アルツハイマー病バイオマーカー
#
Amygdala reactivity	Amygdala reactivity
Amyloid A Levels	Amyloid A Levels
Amyotrophic lateral sclerosis	筋萎縮性側索硬化症
Amyotrophic lateral sclerosis (age of onset)	Amyotrophic lateral sclerosis (age of onset)
Amyotrophic lateral sclerosis (interaction)	Amyotrophic lateral sclerosis (interaction)
Androgen levels	Androgen levels
Angiotensin-converting enzyme activity	Angiotensin-converting enzyme activity
Ankle-brachial index 	Ankle-brachial index
Ankylosing spondylitis	強直性脊椎炎
Anorexia nervosa	拒食症
Anthropometric traits	Anthropometric traits
Anti-cyclic Citrullinated Peptide Antibody	抗環状シトルリン化ペプチド抗体
Anticoagulant levels	Anticoagulant levels
Antineutrophil cytoplasmic antibody-associated vasculitis 	Antineutrophil cytoplasmic antibody-associated vasculitis
Antipsychotic drug-induced weight gain	Antipsychotic drug-induced weight gain
Antipsychotic-induced QTc interval prolongation	Antipsychotic-induced QTc interval prolongation
Aortic root size	Aortic root size
Aortic stiffness	Aortic stiffness
Arsenic metabolism 	Arsenic metabolism
Arterial stiffness	Arterial stiffness
Arthritis (juvenile idiopathic)	Arthritis (juvenile idiopathic)
Aspartate aminotransferase 	Aspartate aminotransferase
Asperger disorder	Asperger障害
Asthma	非喘息性
Asthma (aspirin-intolerant) 	Asthma (aspirin-intolerant)
Asthma (bronchodilator response)	Asthma (bronchodilator response)
Asthma (childhood onset)	Asthma (childhood onset)
Asthma (toluene diisocyanate-induced)	Asthma (toluene diisocyanate-induced)
Asthma treatment response	Asthma treatment response
Atopic dermatitis	アトピー皮膚炎
Atopy	アトピー
Atrial fibrillation	頻拍性心房細動
Atrial fibrillation/atrial flutter	Atrial fibrillation/atrial flutter
Atrioventricular conduction	房室伝導
Attention deficit hyperactivity disorder	注意欠陥多動障害
Attention deficit hyperactivity disorder (time to onset)	Attention deficit hyperactivity disorder (time to onset)
Attention deficit hyperactivity disorder and conduct disorder	Attention deficit hyperactivity disorder and conduct disorder
Attention deficit hyperactivity disorder motor coordination	Attention deficit hyperactivity disorder motor coordination
Attention deficit hyperactivity disorder symptoms (interaction)	Attention deficit hyperactivity disorder symptoms (interaction)
Autism	小児自閉症
Barrett's esophagus	Barrett食道
Basal cell carcinoma 	母斑基底細胞癌症候群
Behcet's disease	Behcet病
Beta thalassemia/hemoglobin E disease	Beta thalassemia/hemoglobin E disease
Biliary atresia	先天性胆道閉鎖症
Bilirubin levels	Bilirubin levels
Biochemical measures	Biochemical measures
Biomedical quantitative traits	Biomedical quantitative traits
Bipolar disorder	躁鬱病
Bipolar disorder (Negative mood delusions)	Bipolar disorder (Negative mood delusions)
Bipolar disorder (age of onset and psychomotor symptoms)	Bipolar disorder (age of onset and psychomotor symptoms)
Bipolar disorder and major depressive disorder (combined)	Bipolar disorder and major depressive disorder (combined)
Bipolar disorder and schizophrenia	Bipolar disorder and schizophrenia
Birth weight	低出生体重
Bitter taste response	Bitter taste response
Black vs. blond hair color	Black vs. blond hair color
Black vs. red hair color	Black vs. red hair color
Bladder cancer	筋層非浸潤性膀胱癌
Bleomycin sensitivity	Bleomycin sensitivity
Blond vs. brown hair color	Blond vs. brown hair color
Blood pressure	最低血圧
Blue vs. brown eyes	Blue vs. brown eyes
Blue vs. green eyes	Blue vs. green eyes
Body mass (lean)	Body mass (lean)
Body mass in chronic obstructive pulmonary disease	Body mass in chronic obstructive pulmonary disease
Body mass index	ボディ・マス・インデックス
