eng	ja	category	is_drug_response
5-HTT brain serotonin transporter levels	脳内セロトニントランスポーター(5-HTT)密度	Trait_med
AB1-42	AB1-42	Trait_med
AIDS	AIDS	Disease
AIDS progression	AIDS進行	Disease
Abdominal aortic aneurysm	腹部大動脈瘤	Disease
Acenocoumarol maintenance dosage	アセノクマロール維持量	Trait_med
Activated partial thromboplastin time	活性化部分トロンボプラスチン時間	Trait_med
Acute graft versus host disease	急性移植片対宿主病(GVHD)	Disease
Acute lung injury	急性肺障害	Disease
Acute lymphoblastic leukemia (childhood)	急性リンパ芽球性白血病(小児期)	Disease
Addiction	中毒	NA
Adiponectin levels	アディポネクチンレベル	Trait_med
Adiposity	肥満	Disease
Adverse response to aromatase inhibitors	アロマターゼ阻害剤への有害反応	Trait_med
Adverse response to carbamapezine	カルバマゼピンへの有害反応	Trait_med
Adverse response to lamotrigine and phenytoin	ラモトリジンとフェニトインへの有害反応	Trait_med
Age-related macular degeneration	加齢黄斑変性症	Disease
Age-related macular degeneration (CNV vs. GA)	加齢黄斑変性症 (CNV vs. GA)	Disease
Age-related macular degeneration (CNV)	加齢黄斑変性症 (CNV)	Disease
Age-related macular degeneration (GA)	加齢黄斑変性症 (GA)	Disease
Age-related macular degeneration (wet)	加齢黄斑変性症 (wet)	Disease
Aging	加齢	Trait_med
Aging (time to death)	加齢 (time to death)	Trait_med
Aging (time to event)	加齢 (time to event)	Trait_med
Aging traits	老化形質	Trait_med
Airflow obstruction	気流閉塞	Disease
Alcohol and nictotine co-dependence	アルコールとニコチンの共依存	Trait_med
Alcohol consumption	アルコール消費量	Trait_easy
Alcohol dependence	アルコール依存症	Disease
Alcohol withdrawal symptoms	アルコール禁断症状	Disease
Alcoholism (12-month weekly alcohol consumption)	アルコール依存症 (12-month weekly alcohol consumption)	Disease
Alcoholism (alcohol dependence factor score)	アルコール依存症 (alcohol dependence factor score)	Disease
Alcoholism (alcohol use disorder factor score)	アルコール依存症 (alcohol use disorder factor score)	Disease
Alcoholism (heaviness of drinking)	アルコール依存症 (heaviness of drinking)	Disease
Allergic rhinitis	慢性アレルギー性鼻炎	Disease
Alopecia areata	円形脱毛症	Trait_easy
