Medical Condition / Topic	Heritability Est.	References
Alcoholism	50 - 60%	[PMID 19785977]
Alzheimer's disease	58 - 79%	[PMID 16461860]
Anorexia nervosa	57 - 79%	[PMID 19828139]
Asthma	0.3	[PMID 16117840]
Autism	30 - 90%	[PMID 17033636]
Bipolar disorder	0.7	[PMID 14601036]
Body mass index	0.51	[PMID 18271028]
Breast cancer	25 - 56%	[PMID 11979442, PMID 2491011]
Cervical cancer	0.22	[PMID 11979442]
Colon cancer	0.13	[PMID 11979442]
Depression	0.5	[PMID 15877306]
Epilepsy	70 - 88%	[PMID 11325572]
Eye color	0.98	[PMID 9152135]
Celiac disease	57 - 87%	[PMID 16354797]
Gallstone disease	0.25	[PMID 15747383]
Graves' disease	0.79	[PMID 11158069]
Hair curliness	85-95%	[PMID 19803779]
Heart disease	34 - 53%	[PMID 10892820]
Height	0.81	[PMID 18271028]
Hypertension	0.3	[PMID 15808811]
Irritable bowel syndrome	"""little""? or 44% for females?"	[PMID 15929767, PMID 17008364]
Leukemia	0.01	[PMID 11979442]
Longevity	0.26	[PMID 8786073]
Lung cancer	0.08	[PMID 11979442]
Lupus	44 - 66%	[PMID 17136562, PMID 3430520]
Menarche, age at	50 - 70%	[PMID 17541737, PMID 17680356]
Nicotine dependence	0.6	[PMID 17888884]
Obesity	0.7	[PMID 16987875]
Osteoarthritis	0.3	[PMID 12855031]
Ovarian cancer	0.4	[PMID 2491011]
Parkinson's disease	25 - 30%	[PMID 21738487]
Polycystic ovary syndrome	0.72	[PMID 16219714]
Prostate cancer	0.42	[PMID 12642065]
Psoriasis	0.66	[PMID 17958839]
Rheumatoid arthritis	0.55	[PMID 18835879]
Schizophrenia	0.81	[PMID 14662550]
Sciatica	0.2	[PMID 2605032]
Sexual orientation	0.6	[PMID 11058483]
Stomach cancer	0.01	[PMID 11979442]
Stroke	0.32	[PMID 11872902]
Testicular cancer	0.25	[PMID 11979442]
Thyroid cancer	0.53	[PMID 11979442]
Type-1 diabetes	0.88	[PMID 12663480]
Type-2 diabetes	0.26	[PMID 10064092]
