disease	RR	pubmed_link	rank	snps
Atopic dermatitis	0.99	http://www.ncbi.nlm.nih.gov/pubmed/22197932	m***	rs3853601,rs2897442,rs479844,rs4821544,rs7000782,rs2164983
Alzheimer's disease (late onset)	0.81	http://www.ncbi.nlm.nih.gov/pubmed/21460841	***	rs7561528,rs6701713,rs3752246,rs9349407
Alcohol dependence	1.28304	http://www.ncbi.nlm.nih.gov/pubmed/19581569	**	rs7590720,rs13160562,rs6902771,rs36563,rs1864982
Type 1 diabetes	0.9	http://www.ncbi.nlm.nih.gov/pubmed/19966805	***	rs2304256,rs941576
Coronary heart disease	1.0	http://www.ncbi.nlm.nih.gov/pubmed/21378988	**	rs1994016,rs514659,rs1333049,rs7865618,rs1412444,rs16893526,rs365302,rs3739998,rs1746048,rs579459,rs9982601,rs12936587,rs3825807,rs4773144,rs599839,rs17465637,rs4977574,rs7808424,rs1122608,rs17114036,rs46522,rs11556924,rs2895811,rs2306374,rs3798220,rs12190287,rs17609940,rs964184,rs7651039,rs12413409,rs4937126,rs1231206,rs10933436,rs216172,rs11206510,rs12526453,rs3184504,rs6725887,rs4380028,rs974819,rs1412444,rs10953541,rs2505083
Psoriasis	0.862488	http://www.ncbi.nlm.nih.gov/pubmed/20953190	**	rs240993,rs27524,rs12720356,rs280519,rs17716942,rs4649203,rs702873,rs8016947,rs6809854
Colorectal cancer	1.21	http://www.ncbi.nlm.nih.gov/pubmed/23266556	m**	rs6983267,rs59336,rs4813802,rs11903757,rs3217901,rs3217810,rs10911251
Orofacial clefts	0.399168	http://www.ncbi.nlm.nih.gov/pubmed/20023658	**	rs9574565,rs17760296,rs1258763,rs7078160,rs227731,rs7590268
Partial epilepsies	0.9	http://www.ncbi.nlm.nih.gov/pubmed/20522523	**	rs2601828
Airflow obstruction	0.81	http://www.ncbi.nlm.nih.gov/pubmed/22837378	**	rs4767234,rs9975851,rs6684428,rs7629245,rs715921,rs7607316,rs2044029
Multiple myeloma	0.756	http://www.ncbi.nlm.nih.gov/pubmed/22120009	**	rs6746082,rs4487645,rs1052501
Bladder cancer	1.0	http://www.ncbi.nlm.nih.gov/pubmed/20972438	***	rs17674580,rs2294008,rs9642880,rs798766,rs401681,rs710521,rs2294008,rs8102137
Body mass index	0.8019	http://www.ncbi.nlm.nih.gov/pubmed/23563607	m***	rs2903492,rs987237,rs7138803,rs633715,rs8089364,rs1516725,rs11075990,rs2030323,rs10938397,rs2568958
Obesity (early onset extreme)	0.733546044	http://www.ncbi.nlm.nih.gov/pubmed/23563609	**	rs12463617,rs3782724,rs7187365,rs1957894,rs9328321,rs2275848,rs12408810,rs17025867,rs1993709,rs11109072,rs1048466,rs11208659,rs16923476,rs564343,rs3101336,rs476828,rs1421085,rs1631486
Type 1 diabetes nephropathy	0.6912	http://www.ncbi.nlm.nih.gov/pubmed/23028342	**	rs4871297,rs7583877,rs7588550,rs878889,rs614226,rs6027506,rs11723864,rs13045180,rs11698685
Chronic lymphocytic leukemia	1.08864	http://www.ncbi.nlm.nih.gov/pubmed/21131588	**	rs735665,rs757978,rs7176508,rs210142,rs872071,rs3769825,rs2511714,rs7944004,rs1679013,rs13397985,rs17483466,rs872071,rs4987855,rs4406737,rs13401811,rs898518,rs735665,rs757978,rs7176508,rs4368253,rs210142,rs674313,rs9378805,rs9272535
Ewing sarcoma	1.404	http://www.ncbi.nlm.nih.gov/pubmed/22327514	***	rs9430161,rs4924410,rs224278
Inflammatory bowel disease	0.911974604412	http://www.ncbi.nlm.nih.gov/pubmed/23128233	**	rs10758669,rs2413583,rs35675666,rs11010067,rs6920220,rs4845604,rs8005161,rs3197999,rs727088,rs6863411,rs4256159,rs1801274,rs7404095,rs2488389,rs925255,rs6871626,rs2231884,rs7608910,rs17085007,rs1569723,rs2651244,rs2823286,rs921720,rs3024505,rs11742570,rs1042058,rs630923,rs4743820,rs6142618,rs4911259,rs2188962,rs11741861,rs4836519,rs6586030,rs1847472,rs1991866,rs194749,rs1819333,rs4246215,rs2472649,rs9557195,rs2155219,rs9358372,rs12654812,rs17119,rs11564258,rs10521318,rs1250546,rs12942547,rs9297145,rs1734907,rs941823,rs1456896,rs10781499,rs913678,rs7657746,rs1292053,rs11879191,rs1517352,rs7495132,rs3749171,rs559928,rs7282490,rs670523,rs4656958,rs17293632,rs11209026,rs7240004,rs12103,rs2790216,rs4899554,rs2266959,rs12722515,rs907611,rs11612508,rs12199775,rs7911264,rs1893217,rs12568930,rs11230563,rs6592362,rs2227564,rs3091316,rs4246905,rs259964,rs2930047,rs7134599,rs6545800,rs2836878,rs11672983,rs10896794,rs17694108,rs10495903,rs26528,rs4409764,rs6062504,rs2412970,rs10761659,rs1363907,rs529866,rs7554511,rs12946510,rs3851228,rs2382817,rs6568421,rs917997,rs6740462,rs38904,rs11168249,rs2111485
Lung adenocarcinoma	0.8	http://www.ncbi.nlm.nih.gov/pubmed/19836008	***	rs31489,rs1051730,rs2736100,rs4324798,rs3117582
