disease	RR	pubmed_link	rank	snps
Asthma	0.379282554225	http://www.ncbi.nlm.nih.gov/pubmed/21804548	***	rs2069408,rs204993,rs3129890,rs7686660,rs1837253,rs1701704,rs7775228,rs3117098,rs9275698,rs3805236,rs3129943,rs10508372,rs404860,rs9500927
Atopic dermatitis	0.322721241231	http://www.ncbi.nlm.nih.gov/pubmed/23042114	***	rs13015714,rs4722404,rs9368677,rs1295686,rs7815944,rs878860,rs9469099,rs2271404,rs1444418,rs9923856,rs10995251,rs12634229,rs11236809,rs7613051,rs16999165,rs593982,rs176095
Gallbladder cancer	0.00024	http://www.ncbi.nlm.nih.gov/pubmed/22318345	**	rs10953615,rs6869388,rs975334,rs7504990,rs13294589
Age-related macular degeneration	0.499891089697	http://www.ncbi.nlm.nih.gov/pubmed/23455636	***	rs1864163,rs8135665,rs429608,rs5749482,rs10490924,rs13278062,rs3812111,rs10737680,rs943080,rs920915,rs334353,rs4698775,rs8017304,rs3130783,rs4420638,rs13081855
Chronic Hepatitis C infection	0.8	http://www.ncbi.nlm.nih.gov/pubmed/21725309	***	rs1012068
Narcolepsy	0.8	http://www.ncbi.nlm.nih.gov/pubmed/18820697	**	rs5770917
Nasopharyngeal carcinoma	0.9	http://www.ncbi.nlm.nih.gov/pubmed/20512145	***	rs9510787
Hepatocellular carcinoma	0.64	http://www.ncbi.nlm.nih.gov/pubmed/22807686	***	rs9272105,rs455804
Corneal astigmatism	0.81	http://www.ncbi.nlm.nih.gov/pubmed/22144915	m***	rs17084051,rs7677751
Chronic myeloid leukemia	0.2	http://www.ncbi.nlm.nih.gov/pubmed/21540461	***	rs4869742,rs4795519
Hepatitis B (viral clearance)	0.3	http://www.ncbi.nlm.nih.gov/pubmed/22737229	***	rs3077,rs9277535
Biliary atresia	3.552	http://www.ncbi.nlm.nih.gov/pubmed/20460270	**	rs9314986,rs17095355,rs2120991
Coronary heart disease	0.792	http://www.ncbi.nlm.nih.gov/pubmed/23364394	**	rs3782889,rs886126,rs9508025
Psoriasis	0.64	http://www.ncbi.nlm.nih.gov/pubmed/19169255	***	rs4085613,rs3213094
Moyamoya disease	4.0	http://www.ncbi.nlm.nih.gov/pubmed/21048783	**	rs6565681
Polycystic ovary syndrome	1.058508	http://www.ncbi.nlm.nih.gov/pubmed/22885925	***	rs6022786,rs1894116,rs4784165,rs705702,rs2268361,rs2272046,rs3802457
Colorectal cancer	1.1664	http://www.ncbi.nlm.nih.gov/pubmed/23263487	**	rs647161,rs1665650,rs10774214,rs2423279
Peripheral artery disease	0.72	http://www.ncbi.nlm.nih.gov/pubmed/20610895	**	rs2359536,rs1902341
Endometriosis	0.85536	http://www.ncbi.nlm.nih.gov/pubmed/23104006	m**	rs7739264,rs1537377,rs10859871,rs13394619,rs4141819
Ankylosing spondylitis	1.2636	http://www.ncbi.nlm.nih.gov/pubmed/22138694	**	rs4552569,rs2075726,rs13210693,rs17095830
Alzheimer's disease (late onset)	0.6	http://www.ncbi.nlm.nih.gov/pubmed/23565137	***	rs519113
Coronary spasm	0.5	http://www.ncbi.nlm.nih.gov/pubmed/18075462	**	rs10498345
Behcet's disease	0.7	http://www.ncbi.nlm.nih.gov/pubmed/23001997	***	rs897200
Knee osteoarthritis	0.8	http://www.ncbi.nlm.nih.gov/pubmed/20305777	***	rs10947262
Kawasaki disease	1.0584	http://www.ncbi.nlm.nih.gov/pubmed/22446961	**	rs4894410,rs9290065,rs7656244,rs2736340,rs1569723,rs17667932
Nephrotic syndrome (acquired)	0.72	http://www.ncbi.nlm.nih.gov/pubmed/21441931	**	rs16946160,rs11086243
Ulcerative colitis	2.4192	http://www.ncbi.nlm.nih.gov/pubmed/23511034	**	rs16940186,rs16940202,rs9268853,rs9271366,rs17085007
Type 2 diabetes	0.7762392	http://www.ncbi.nlm.nih.gov/pubmed/22158537	m**	rs6467136,rs6017317,rs6815464,rs9470794,rs1535500,rs3786897,rs16955379,rs7041847,rs17797882
Uterine fibroids	0.39366	http://www.ncbi.nlm.nih.gov/pubmed/21460842	***	rs12484776,rs2172873,rs991964,rs7913069,rs2280543
Crohn's disease	3.42	http://www.ncbi.nlm.nih.gov/pubmed/23266558	**	rs11894081,rs3094188,rs72981516,rs9267911
Esophageal cancer and gastric cancer	0.729	http://www.ncbi.nlm.nih.gov/pubmed/20729852	**	rs3781264,rs738722,rs3765524,rs4072037
Glaucoma	1.2	http://www.ncbi.nlm.nih.gov/pubmed/22792221	***	rs523096
